Energy Consumption,Power Consumption,Temperature,Speed,Bus
1.60,23.48,56.53,14.63,22902
1.85,22.87,60.67,12.36,22903
1.40,13.92,62.04,9.96,22903
1.55,14.83,62.33,9.55,22903
1.33,13.27,62.69,9.96,22903
1.35,14.41,62.76,10.71,22903
1.47,13.64,62.44,9.27,22903
1.29,13.52,61.47,10.50,22903
1.29,12.99,60.40,10.09,22903
1.96,14.85,52.27,7.57,22901
2.07,19.48,51.04,9.43,22901
1.75,21.68,59.58,12.36,22901
1.95,23.20,65.73,11.90,22901
1.65,22.98,70.15,13.91,22901
1.81,18.00,73.49,9.93,22901
1.88,21.47,75.42,11.44,22901
1.48,19.26,59.96,13.04,22902
1.41,21.63,75.82,15.35,22902
1.73,24.19,76.06,14.01,22902
1.40,22.72,74.49,16.20,22902
1.14,16.45,68.21,14.48,22902
2.57,33.90,50.48,13.17,22903
1.99,26.22,50.27,13.18,22903
1.97,28.74,55.49,14.62,22903
1.73,23.31,63.53,13.47,22903
1.24,22.05,57.53,17.74,22901
1.41,24.68,73.47,17.53,22901
1.54,18.66,57.63,12.14,22902
1.98,22.03,57.21,11.13,22902
2.13,22.37,59.06,10.48,22902
1.58,17.21,66.18,10.90,22902
1.65,17.95,74.90,10.91,22902
1.63,21.25,57.49,13.07,22903
1.86,24.69,58.26,13.24,22903
1.71,24.22,75.12,14.18,22903
1.80,19.01,77.20,10.54,22903
1.56,17.48,72.75,11.18,22903
1.61,21.29,68.06,13.22,22903
1.35,16.11,63.70,11.90,22903
1.92,26.01,62.62,13.56,22903
1.83,21.33,62.89,11.63,22903
1.53,22.21,63.50,14.56,22902
1.62,23.10,59.62,14.23,22902
1.73,22.87,61.99,13.26,22902
1.47,21.29,68.66,14.46,22902
2.82,20.86,79.66,7.41,22902
2.24,16.60,82.35,7.43,22902
2.52,17.22,82.95,6.82,22902
1.98,18.33,81.45,9.27,22902
1.86,19.49,80.81,10.50,22902
1.50,18.08,80.33,12.08,22902
1.58,20.18,67.25,12.77,22903
2.44,29.14,82.86,11.93,22903
2.04,22.24,81.31,10.92,22903
1.77,17.42,77.72,9.82,22903
1.99,21.03,61.77,10.57,22903
2.44,35.82,58.82,14.67,22903
1.52,22.14,54.85,14.56,22902
1.66,20.82,53.98,12.52,22902
1.46,14.54,56.11,9.96,22902
1.20,11.94,55.58,9.99,22902
1.25,12.91,55.43,10.32,22902
1.85,18.12,55.21,9.77,22902
1.65,15.55,54.81,9.41,22902
1.68,14.17,54.50,8.44,22902
1.82,17.91,53.92,9.85,22902
1.62,19.49,53.42,12.00,22902
1.55,20.09,54.42,12.99,22903
2.10,19.18,51.98,9.12,22903
2.36,32.78,39.02,13.91,22902
2.41,30.74,43.00,12.74,22902
1.75,25.07,48.15,14.34,22902
1.82,29.09,50.46,16.02,22902
2.80,22.42,46.67,8.02,22903
1.78,29.76,42.57,16.75,22903
1.55,24.96,46.69,16.08,22903
1.60,30.19,49.21,18.86,22903
1.59,27.10,50.66,17.08,22903
1.79,18.34,50.69,10.22,22903
1.41,18.81,50.01,13.36,22901
1.46,24.03,63.28,16.48,22901
2.92,24.92,39.87,8.54,22903
1.64,15.29,59.75,9.34,22903
1.85,23.22,49.17,12.54,22903
1.92,25.39,43.42,13.21,22901
1.69,26.32,50.27,15.58,22901
1.47,20.39,54.27,13.90,22901
1.66,25.71,59.56,15.52,22901
1.54,18.17,73.28,11.76,22901
1.41,15.85,71.17,11.21,22901
1.44,18.01,69.77,12.53,22901
1.69,21.07,66.98,12.45,22901
1.45,19.71,65.18,13.56,22901
1.59,20.18,64.00,12.70,22901
1.72,22.81,63.59,13.26,22901
2.15,24.65,73.62,11.44,22902
1.88,17.23,72.10,9.14,22902
1.54,18.02,69.34,11.68,22902
1.45,12.67,64.78,8.76,22902
2.29,19.10,47.79,8.34,22903
1.59,28.63,60.42,17.99,22903
1.60,28.56,71.02,17.80,22903
1.60,16.03,59.75,10.03,22901
